"CBC;RBC (Red Blood Cells);Low;""1. Punarnava Mandur: Take 2 tablets (500 mg each) twice daily after meals with warm water for 8 weeks — classical iron-rich Ayurvedic formulation that directly stimulates RBC production in bone marrow. | 2. Shatavari Churna: Take 5 g with warm milk twice daily (morning and bedtime) for 8 weeks — a potent Rasayana that nourishes Rakta Dhatu and promotes erythropoiesis. | 3. Guduchi Swarasa: Take 20 ml fresh Guduchi juice with equal water every morning on empty stomach for 6 weeks — powerful immunomodulator that corrects RBC quantitative deficiency. | 4. Chyawanprash: Take 2 teaspoons with warm milk every morning for 12 weeks — rich multi-herb formulation that enhances haematopoiesis and RBC longevity. | 5. Mandur Bhasma: Take 250 mg twice daily with buttermilk after meals for 6–8 weeks under physician supervision — directly stimulates red blood cell formation in bone marrow. | 6. Vidarikanda Churna: Take 3 g with warm milk at bedtime for 6 weeks — nourishes Rakta Dhatu and improves bone marrow vitality. | 7. Dhatri Lauha: Take 250 mg twice daily after meals with honey for 6 weeks — combines Amla and iron to directly stimulate RBC production."";""1. Practice Kapalbhati Pranayama for 10–15 minutes daily — stimulates bone marrow and spleen", primary organs of RBC production. | 2. Perform Yoga Nidra for 20–30 minutes daily to rejuvenate bone marrow and nervous system. | 3. Brisk walking for 30–45 minutes daily stimulates kidneys to release erythropoietin (EPO) triggering RBC production. | 4. Avoid overwork, excessive physical exertion," and dehydration — these cause Dhatu Kshaya (tissue depletion) directly reducing RBC count. | 5. Maintain consistent mealtimes to keep Agni strong for proper nutrient assimilation. | 6. Avoid alcohol completely — directly toxic to bone marrow and suppresses RBC production. | 7. Manage stress through daily 15–20 minutes meditation — chronic stress suppresses haematopoiesis."";""1. Eat dark green leafy vegetables daily — rich in folate essential for RBC maturation and DNA synthesis. | 2. Include Vitamin B12 sources: dairy", eggs, and for non-vegetarians goat liver once a week. | 3. Consume copper-rich foods: sesame seeds, cashews, lentils — copper is essential for iron conversion into haemoglobin. | 4. Drink 2.5–3 litres of water daily — dehydration reduces plasma volume and impairs erythropoietin release. | 5. Eat 5–7 soaked almonds daily — rich in Vitamin E and copper," they protect RBC membranes from oxidative damage. | 6. Include beetroot juice (200 ml) daily — directly supports haematopoiesis and bone marrow activity. | 7. Avoid refined sugar and processed carbohydrates — promote oxidative stress which destroys RBCs prematurely.""",,,,,,,,,,,,,,,,,,,,
"CBC;MCHC (Mean Corpuscular Hb Concentration);High;""1. Triphala Churna: Take 5 g with warm water at bedtime for 8 weeks — detoxifies blood", reduces haemoconcentration," and normalises RBC haemoglobin concentration. | 2. Guduchi Swarasa: Take 20 ml with equal water every morning on empty stomach for 6 weeks — Raktashodhak correcting qualitative excess within RBCs. | 3. Neem Capsules: Take 500 mg twice daily after meals for 4 weeks — reduces RBC membrane oxidative stress driving elevated MCHC. | 4. Manjistha Churna: Take 3 g twice daily after meals for 6 weeks — premier blood-purifying herb for Pitta-aggravated RBC conditions. | 5. Kumari Swarasa (Aloe Vera): Take 30 ml fresh juice with a pinch of turmeric every morning on empty stomach for 4 weeks — normalises RBC morphology and spleen function."";""1. Increase hydration to 3–3.5 litres daily — dehydration is the most common cause of elevated MCHC; rehydration normalises it rapidly. | 2. Practice Sheetali Pranayama for 10 minutes daily — cools Pitta excess in Rakta Dhatu. | 3. Avoid excessive heat", saunas," and intense exercise that causes fluid loss and haemoconcentration. | 4. Sleep in a well-ventilated room — oxygen saturation disorders worsen MCHC elevation. | 5. Avoid alcohol and smoking."";""1. Prioritise cooling", hydrating foods: cucumber, coconut water (200 ml daily), buttermilk, bottle gourd. | 2. Eat pomegranate daily — normalises RBC membrane integrity. | 3. Avoid red meat and iron supplements. | 4. Include anti-oxidant-rich foods: berries, amla, and green tea. | 5. Avoid spicy, fried," and Pitta-aggravating foods during treatment.""",,,,,,,,,,,,,,,,
"CBC;RDW-CV;Low;""1. Chyawanprash: Take 2 teaspoons with warm milk every morning for 12 weeks — very low RDW-CV is rare and generally benign"," but Chyawanprash supports overall haematological normalcy. | 2. Ashwagandha Churna: Take 3 g with warm milk at bedtime for 6 weeks — supports balanced RBC production across all size ranges. | 3. Shatavari Churna: Take 5 g with warm milk twice daily for 6 weeks — Rasayana that nourishes all Dhatus ensuring balanced RBC production."";""1. Low RDW-CV is generally considered benign but may indicate thalassaemia trait — consult a physician for further evaluation. | 2. Follow a balanced Dinacharya (daily routine) with consistent mealtimes. | 3. Practice moderate yoga and Pranayama for 30 minutes daily to maintain haematopoietic balance. | 4. Avoid iron overloading — excess iron supplementation can paradoxically reduce RDW."";""1. Maintain a balanced", diverse diet with all micronutrients. | 2. Avoid excessive iron supplementation without testing. | 3. Include balanced portions of iron, B12," and folate sources at each meal. | 4. Do not restrict any food group — dietary diversity is the most important recommendation for maintaining normal RDW.""",,,,,,,,,,,,,,,,,,,,,,,,
"CBC;RDW-CV;High;""1. Punarnava Mandur: Take 2 tablets twice daily after meals for 8 weeks — addresses the iron deficiency component of elevated RDW-CV", the most common cause. | 2. Ashwagandha Churna: Take 5 g with warm milk at bedtime for 8 weeks — supports bone marrow in producing uniformly sized RBCs reducing anisocytosis. | 3. Shatavari Churna: Take 5 g with warm milk twice daily for 8 weeks — supports gut mucosa for improved B12 and folate absorption," both deficiencies driving high RDW. | 4. Triphala Churna: Take 3 g with warm water at bedtime for 6 weeks — improves gut health and nutrient absorption correcting multi-deficiency states causing elevated RDW. | 5. Chyawanprash: Take 2 teaspoons with warm milk every morning for 12 weeks — comprehensive multi-nutrient support normalising RBC size distribution."";""1. Elevated RDW-CV indicates mixed nutritional deficiencies (iron + B12/folate) — address ALL simultaneously", not just one. | 2. Avoid alcohol — worsens both iron and folate deficiency. | 3. Practice Dinacharya strictly — consistent mealtimes and sleep cycles optimise nutrient absorption. | 4. Identify and address any bleeding source (GI bleed," heavy menstruation) with a physician. | 5. Practice Anulom Vilom Pranayama for 15 minutes daily to compensate for reduced oxygen carrying capacity."";""1. Eat iron AND folate AND B12 sources at the same meal wherever possible — mixed deficiency requires comprehensive nutritional correction. | 2. Include iron: spinach", sesame seeds, jaggery, pomegranate. | 3. Include folate: moong dal, kidney beans, broccoli, asparagus. | 4. Include B12: dairy, eggs," fermented foods. | 5. Pair all iron foods with Vitamin C. | 6. Soak and sprout all legumes and grains before consuming.""",,,,,,,,,,,,,,,,
"CBC;RDW-SD;Low;""1. Chyawanprash: Take 2 teaspoons with warm milk every morning for 8 weeks — supports balanced haematopoiesis. | 2. Ashwagandha Churna: Take 3 g with warm milk at bedtime for 6 weeks — maintains Dhatu balance. | 3. Note: Low RDW-SD is generally benign and may indicate thalassaemia minor — further evaluation recommended."";""1. Low RDW-SD is rarely clinically significant — maintain general health through regular Dinacharya. | 2. If thalassaemia trait suspected"," consult haematologist. | 3. Avoid iron supplementation without confirmed deficiency."";""1. Maintain a balanced nutritious diet. | 2. Avoid excess iron supplementation. | 3. Include diverse grains", legumes," and vegetables daily.""",,,,,,,,,,,,,,,,,,,,,,,,,
"CBC;RDW-SD;High;""1. Punarnava Mandur: Take 2 tablets twice daily after meals for 8 weeks — corrects iron deficiency causing anisocytosis and elevated RDW-SD. | 2. Shatavari Churna: Take 5 g with warm milk twice daily for 8 weeks — improves gut absorption of B12 and folate. | 3. Triphala Churna: Take 3 g at bedtime for 6 weeks — improves gut health ensuring better nutrient absorption. | 4. Chyawanprash: Take 2 teaspoons with warm milk every morning for 12 weeks. | 5. Ashwagandha Churna: Take 5 g with warm milk at bedtime for 8 weeks — supports bone marrow in producing uniformly sized RBCs."";""1. Address all underlying nutritional deficiencies simultaneously. | 2. Avoid alcohol. | 3. Practice consistent Dinacharya with regular mealtimes. | 4. Rule out haemolysis", recent blood transfusion," and iron deficiency anaemia with physician. | 5. Practice Pranayama (Anulom Vilom 15 minutes daily)."";""1. Eat a comprehensive multi-nutrient diet covering iron", B12," and folate simultaneously. | 2. Include fermented foods for gut microbiome support. | 3. Avoid tea and coffee with meals. | 4. Eat sprouted legumes daily for maximum mineral bioavailability.""",,,,,,,,,,,,,,,,,,,,,,,,
"CBC;WBC (Total Leucocytes Count);Low;""1. Guduchi Ghanvati: Take 500 mg twice daily with warm water after meals for 6–8 weeks — the supreme immunomodulator in Ayurveda", directly stimulates leukocyte production. | 2. Ashwagandha Churna: Take 5 g with warm milk and honey at bedtime for 8 weeks — adaptogen that reduces cortisol and stimulates bone marrow to increase WBC count. | 3. Tulsi Swarasa: Crush 10–15 fresh Tulsi leaves, extract 15 ml juice, mix with equal warm water and 1 teaspoon honey, consume every morning on empty stomach for 6 weeks. | 4. Shilajit (Purified): Take 250–500 mg with warm milk once daily in morning for 8 weeks — rich in fulvic acid," powerfully stimulates bone marrow. | 5. Neem Capsules: Take 500 mg twice daily after meals for 4–6 weeks — anti-infective and immunostimulant raising WBC count. | 6. Amalaki Rasayana: Take 10 g twice daily with warm water for 8 weeks — Amla's Vitamin C is a potent stimulator of WBC production. | 7. Chyawanprash: Take 2 teaspoons with warm milk every morning for 12 weeks."";""1. Follow Dinacharya: wake by 6 AM", practice oil pulling with sesame oil for 5 minutes, scrape tongue with copper scraper. | 2. Practice Surya Namaskar (12 rounds) daily — stimulates lymphatic system, thymus, and spleen, primary WBC production organs. | 3. Perform Bhastrika Pranayama for 5 minutes followed by 5 minutes Anulom Vilom — activates lymphatic system and innate immunity. | 4. Sleep 7–9 hours — 70% of immune cell production occurs during deep sleep. | 5. Avoid alcohol, smoking," and radiation exposure. | 6. Perform daily Abhyanga (self-massage with warm sesame oil) for 10–15 minutes before bathing. | 7. Manage stress rigorously — chronic stress is one of the most potent suppressors of WBC production."";""1. Consume 2–3 raw garlic cloves daily with warm water every morning — allicin directly stimulates lymphocyte and macrophage proliferation. | 2. Chew 5–7 fresh Tulsi leaves every morning on empty stomach. | 3. Drink turmeric milk (Golden Milk) every night before bed: 250 ml cow milk with 1/2 teaspoon turmeric", pinch of black pepper, 1/2 teaspoon ashwagandha. | 4. Eat pumpkin seeds (30 g daily) — rich in zinc," critical for WBC production and maturation. | 5. Include 1 bowl fresh homemade curd and 200 ml buttermilk with lunch daily — probiotics strengthen gut-associated lymphoid tissue. | 6. Eat mushrooms (shiitake or button) 2–3 times per week — beta-glucans powerfully stimulate macrophage and NK cell activity. | 7. Avoid white sugar — suppresses neutrophil activity by up to 50%.""",,,,,,,,,,,,,
"CBC;WBC (Total Leucocytes Count);High;""1. Guduchi (Giloy) Swarasa: Take 20 ml with equal water every morning on empty stomach for 6 weeks — powerful anti-inflammatory and immunomodulator that normalises aberrant leukocyte proliferation. | 2. Neem Capsules: Take 500 mg twice daily after meals for 4–6 weeks — anti-infective that eliminates the infection driving leukocytosis. | 3. Triphala Churna: Take 5 g with warm water at bedtime for 8 weeks — detoxifies blood and reduces Ama-driven inflammatory leukocytosis. | 4. Manjistha Churna: Take 3 g twice daily after meals for 6 weeks — Rakta Shodhana herb that reduces inflammation in blood. | 5. Turmeric Milk: Take 250 ml warm cow milk with 1 teaspoon turmeric and pinch of black pepper every night for 8 weeks — curcumin's powerful anti-inflammatory action reduces inflammatory WBC elevation. | 6. Note: High WBC requires urgent physician evaluation to rule out serious infection", leukaemia," or inflammatory disease — Ayurvedic remedies are supportive only."";""1. Identify and treat the underlying infection or inflammatory cause urgently with a physician — leukocytosis is a symptom"," not a standalone diagnosis. | 2. Rest adequately — physical stress worsens inflammatory leukocytosis. | 3. Avoid all immunostimulants during active leukocytosis. | 4. Manage fever with Sheetali Pranayama and cooling measures. | 5. Avoid smoking — raises baseline WBC count. | 6. Reduce psychological stress through meditation and Yoga Nidra."";""1. Focus on anti-inflammatory foods: turmeric", ginger, garlic, and omega-3-rich flaxseeds and walnuts. | 2. Drink warm ginger-tulsi tea 3 times daily. | 3. Avoid sugar, processed foods, and refined carbohydrates — all promote systemic inflammation. | 4. Eat light, easily digestible foods (khichdi, dal," steamed vegetables) to reduce Ama formation. | 5. Stay well hydrated — 3 litres of warm water daily to support lymphatic clearance. | 6. Avoid cold and refrigerated foods — increase Ama and suppress Agni.""",,,,,,,,,,,,,,,,,
"CBC;Neutrophils%;Low;""1. Ashwagandha Churna: Take 5 g with warm milk at bedtime for 8 weeks — stimulates bone marrow granulocyte production. | 2. Guduchi Ghanvati: Take 500 mg twice daily after meals for 6 weeks — directly stimulates neutrophil production and activity. | 3. Shilajit (Purified): Take 250 mg with warm milk every morning for 8 weeks — fulvic acid stimulates innate immune cell production. | 4. Chyawanprash: Take 2 teaspoons with warm milk every morning for 12 weeks. | 5. Amalaki Rasayana: Take 10 g twice daily with warm water for 8 weeks."";""1. Avoid all infections — neutropenia makes you highly vulnerable to bacterial infections; maintain strict hand hygiene. | 2. Avoid raw or undercooked foods during neutropenic phase. | 3. Sleep 8 hours minimum. | 4. Manage stress rigorously. | 5. Avoid alcohol and smoking. | 6. Practice moderate yoga and Pranayama — do not do intense exercise during neutropenic states."";""1. Eat zinc-rich foods generously: pumpkin seeds", sesame seeds, cashews," lentils — zinc is the most critical mineral for neutrophil production. | 2. Include garlic and ginger at every meal for natural anti-infective protection during low neutrophil state. | 3. Eat fresh turmeric and black pepper daily. | 4. Avoid raw salads and unwashed fruits during neutropenic phase. | 5. Include probiotic foods: curd and buttermilk daily.""",,,,,,,,,,,,,,,,,,,,,,,,,
"CBC;Neutrophils%;High;""1. Guduchi Swarasa: Take 20 ml with equal water every morning for 6 weeks — immunomodulator that normalises neutrophil count by addressing underlying infection or inflammation. | 2. Neem Capsules: Take 500 mg twice daily after meals for 4–6 weeks — addresses bacterial infections driving neutrophilia. | 3. Triphala Churna: Take 5 g with warm water at bedtime for 6 weeks — reduces Ama and systemic inflammation. | 4. Turmeric Milk: Every night for 8 weeks — powerful anti-inflammatory reducing the inflammatory signal driving neutrophilia."";""1. Identify and treat the underlying bacterial infection or inflammatory condition. | 2. Rest — physical and emotional stress are common causes of reactive neutrophilia. | 3. Reduce acute psychological stress — stress hormones (cortisol"," adrenaline) directly cause neutrophilia. | 4. Practice deep abdominal breathing and Yoga Nidra for 20 minutes daily."";""1. Eat anti-inflammatory foods: ginger", garlic, turmeric, and omega-3-rich foods. | 2. Avoid sugar and processed foods. | 3. Eat light, easily digestible meals: khichdi, moong dal," steamed vegetables. | 4. Stay well hydrated with warm water and herbal teas.""",,,,,,,,,,,,,,,,,,,,,
"CBC;Lymphocytes%;Low;""1. Ashwagandha Churna: Take 5 g with warm milk at bedtime for 8 weeks — powerful adaptogen that restores lymphocyte counts depleted by chronic stress or illness. | 2. Guduchi Ghanvati: Take 500 mg twice daily after meals for 8 weeks — directly stimulates lymphocyte production. | 3. Amalaki Rasayana: Take 10 g twice daily with warm water for 8 weeks — Vitamin C is critical for lymphocyte maturation and proliferation. | 4. Shatavari Churna: Take 5 g with warm milk twice daily for 8 weeks — Rasayana that restores depleted immune cell populations. | 5. Chyawanprash: Take 2 teaspoons with warm milk every morning for 12 weeks."";""1. Reduce chronic stress urgently — cortisol directly causes lymphopenia (low lymphocytes); this is one of the most common causes. | 2. Sleep 8–9 hours minimum every night — lymphocyte production peaks during deep sleep. | 3. Avoid excessive exercise — overtraining causes transient lymphopenia. | 4. Perform daily Abhyanga (warm sesame oil massage) for 10–15 minutes — activates lymphatic system. | 5. Practice Yoga Nidra for 30 minutes daily — the most powerful stress-reduction technique for lymphocyte recovery."";""1. Eat zinc-rich foods: pumpkin seeds", sesame, cashews," lentils. | 2. Include Vitamin C sources at every meal. | 3. Consume probiotic foods daily: curd and buttermilk. | 4. Eat mushrooms 2–3 times weekly. | 5. Include Tulsi leaves and turmeric daily. | 6. Avoid sugar and processed foods.""",,,,,,,,,,,,,,,,,,,,,,,,,
"CBC;Lymphocytes%;High;""1. Guduchi Swarasa: Take 20 ml with equal water every morning for 6 weeks — immunomodulator normalising aberrant lymphocyte counts. | 2. Neem Capsules: Take 500 mg twice daily after meals for 4–6 weeks — anti-viral and anti-infective addressing the cause of reactive lymphocytosis. | 3. Triphala Churna: Take 5 g at bedtime for 6 weeks — reduces systemic inflammation and Ama. | 4. Note: High lymphocytes usually indicate viral infection — treat the underlying cause; rarely indicates lymphocytic leukaemia requiring urgent physician evaluation."";""1. Physician evaluation is mandatory for persistently high lymphocytes to rule out leukaemia or chronic viral infection. | 2. Rest adequately and avoid immunostimulants. | 3. Practice Sheetali Pranayama and cooling Yoga to reduce Pitta-driven immune overactivation. | 4. Manage stress — paradoxically"," chronic stress can drive lymphocytosis through autonomic nervous system pathways."";""1. Eat cooling", anti-inflammatory foods. | 2. Avoid immunostimulants: ashwagandha, shilajit, and mushrooms during active lymphocytosis. | 3. Focus on light," easily digestible foods. | 4. Stay well hydrated.""",,,,,,,,,,,,,,,,,,,,,,,
"CBC;Eosinophils%;Low;""1. Guduchi Ghanvati: Take 500 mg twice daily after meals for 6 weeks — general immunomodulator maintaining healthy immune cell balance. | 2. Chyawanprash: Take 2 teaspoons with warm milk every morning for 8 weeks. | 3. Note: Low eosinophils are rarely clinically significant unless associated with Cushing syndrome or steroid use."";""1. Review any steroid or cortisol-elevating medications with your physician. | 2. Manage stress — high cortisol suppresses eosinophil count. | 3. Maintain general health through regular Dinacharya and Pranayama."";""1. Maintain a balanced"," anti-inflammatory diet. | 2. Avoid long-term use of excessive licorice (Yashtimadhu) without physician guidance — can mimic aldosteronism suppressing eosinophils.""",,,,,,,,,,,,,,,,,,,,,,,,,,,
"CBC;Eosinophils%;High;""1. Haridra (Turmeric) Capsules: Take 500 mg twice daily after meals with warm water for 6–8 weeks — curcumin is a powerful anti-allergic and anti-parasitic agent directly reducing eosinophilia. | 2. Neem Capsules: Take 500 mg twice daily after meals for 4–6 weeks — anti-parasitic and anti-allergic"," addresses the most common causes of elevated eosinophils. | 3. Triphala Churna: Take 3 g at bedtime for 8 weeks — anti-parasitic deworming effect reduces parasitic eosinophilia. | 4. Guduchi Ghanvati: Take 500 mg twice daily for 6 weeks — immunomodulator that normalises aberrant eosinophil production. | 5. Vidanga (Embelia ribes) Churna: Take 3 g with warm water twice daily for 4 weeks — classically used in Ayurveda as a Krumighna (anti-parasitic) herb directly addressing parasitic eosinophilia. | 6. Haritaki Churna: Take 3 g with warm water at bedtime for 4 weeks — gentle deworming and gut-cleansing action reduces parasitic and allergic eosinophilia."";""1. Rule out intestinal parasites with stool examination — the most common cause of eosinophilia in India. | 2. Identify and eliminate allergens: dust mites", pet dander, pollens," and food allergens (commonly wheat and dairy). | 3. Practice Neti (nasal rinsing with warm saline) daily if respiratory allergy is suspected — reduces allergen load. | 4. Avoid damp living environments — moulds are a major trigger of eosinophilia. | 5. Practice Anulom Vilom Pranayama for 15 minutes daily — stabilises immune system and reduces allergic reactivity. | 6. Use a Neem-based air purifier or burn Neem leaves periodically — reduces indoor allergen and microbial load."";""1. Follow a strict anti-allergic elimination diet — remove the most common allergens one at a time: wheat", dairy, eggs, shellfish. | 2. Eat Neem chutney (4–5 fresh Neem leaves ground with coconut and lime) with lunch 3–4 times weekly — anti-parasitic and anti-allergic. | 3. Include turmeric in every meal. | 4. Avoid highly processed foods, artificial preservatives," and food colours — common eosinophilia triggers. | 5. Eat raw papaya (100 g daily on empty stomach) — contains papain which is anti-parasitic. | 6. Drink warm water with 1/4 teaspoon carom seeds (ajwain) every morning — anti-parasitic and digestive.""",,,,,,,,,,,,,,,,,,,
"CBC;Basophils%;Low;""1. Chyawanprash: Take 2 teaspoons with warm milk every morning for 8 weeks. | 2. Ashwagandha Churna: Take 3 g with warm milk at bedtime for 6 weeks. | 3. Note: Low basophils are extremely rare and almost never clinically significant; treat underlying condition if known."";""1. Low basophils are rarely significant. | 2. Maintain general health through Dinacharya and Pranayama. | 3. If associated with hyperthyroidism"," address thyroid health (see Thyroid section)."";""1. Maintain a balanced"," nutritious diet. | 2. Include anti-inflammatory and immune-supporting foods.""",,,,,,,,,,,,,,,,,,,,,,,,,,
"CBC;Basophils%;High;""1. Haridra Capsules: Take 500 mg twice daily after meals for 6 weeks — anti-allergic and anti-inflammatory"," reduces basophil activation. | 2. Guduchi Ghanvati: Take 500 mg twice daily after meals for 6 weeks — immunomodulator. | 3. Note: Persistently high basophils require urgent physician evaluation to rule out chronic myeloid leukaemia — Ayurvedic remedies are purely supportive."";""1. Urgent physician evaluation is mandatory for persistently elevated basophils. | 2. Identify and eliminate allergens. | 3. Avoid all immunostimulants. | 4. Practice cooling Pranayama (Sheetali) and gentle yoga only."";""1. Eat anti-allergic", cooling foods. | 2. Avoid shellfish, cold water fish," and other high-histamine foods. | 3. Avoid fermented foods during active basophilia.""",,,,,,,,,,,,,,,,,,,,,,,,
"CBC;Platelet Count;Low;""1. Papaya Leaf Extract: Take 25 ml of fresh papaya leaf juice every morning on empty stomach for 2–4 weeks — the most clinically validated natural thrombocytopenic remedy"," directly stimulates thrombopoiesis. | 2. Giloy (Guduchi) Swarasa: Take 20 ml with equal water every morning for 6 weeks — stimulates platelet production and is the classical Ayurvedic remedy for dengue-related thrombocytopenia. | 3. Wheat Grass Juice: Take 30 ml every morning on empty stomach for 4 weeks — rich in chlorophyll and minerals supporting bone marrow platelet production. | 4. Ashwagandha Churna: Take 5 g with warm milk at bedtime for 8 weeks — bone marrow stimulant supporting thrombopoiesis. | 5. Chyawanprash: Take 2 teaspoons with warm milk every morning for 12 weeks. | 6. Amalaki Rasayana: Take 10 g twice daily with warm water for 6 weeks — Vitamin C protects platelets from oxidative destruction."";""1. Avoid aspirin", ibuprofen," and other NSAIDs completely — severely worsen thrombocytopenia. | 2. Avoid alcohol completely — directly suppresses platelet production and increases bleeding risk. | 3. Avoid contact sports and injury risk during thrombocytopenic phase. | 4. Use only soft-bristle toothbrushes to avoid gum bleeding. | 5. Practice gentle yoga and walking only — no high-intensity exercise. | 6. Sleep 8–9 hours minimum — bone marrow platelet production peaks during deep sleep."";""1. Eat papaya (ripe fruit 200 g daily) and drink fresh papaya leaf juice every morning. | 2. Include pumpkin and pumpkin seeds daily — zinc and Vitamin K2 support platelet production. | 3. Eat dark green vegetables (spinach", methi," drumstick leaves) — rich in Vitamin K essential for platelet function. | 4. Consume pomegranate juice (200 ml) daily. | 5. Include sesame seeds and flaxseeds daily — omega-3 and zinc support thrombopoiesis. | 6. Avoid alcohol entirely. | 7. Drink coconut water (200 ml) twice daily.""",,,,,,,,,,,,,,,,,,,,,,,
"CBC;Platelet Count;High;""1. Triphala Churna: Take 5 g with warm water at bedtime for 8 weeks — detoxifies blood", reduces reactive thrombocytosis from inflammation. | 2. Guduchi Swarasa: Take 20 ml with equal water every morning for 6 weeks — anti-inflammatory immunomodulator addressing reactive thrombocytosis. | 3. Turmeric Milk: 250 ml warm milk with 1 teaspoon turmeric and pinch of black pepper every night for 8 weeks — curcumin is a natural platelet aggregation inhibitor. | 4. Ginger Tea: Boil 1-inch fresh ginger in 400 ml water, reduce, add honey," drink twice daily for 6 weeks — ginger is a natural antiplatelet agent. | 5. Arjuna Churna: Take 3 g with warm water twice daily for 6 weeks — Arjuna has antiplatelet and cardioprotective properties reducing thrombocytosis-associated cardiovascular risk."";""1. Physician evaluation mandatory if platelets are above 600","000 — essential thrombocythaemia requires medical management. | 2. Stay very well hydrated — 3–3.5 litres daily to reduce blood viscosity and thrombosis risk from high platelets. | 3. Avoid prolonged immobility — increases clot risk with high platelet count. | 4. Practice Pranayama and gentle walking daily to maintain healthy circulation. | 5. Avoid smoking and dehydration — both worsen platelet aggregation."";""1. Include natural antiplatelet foods generously: garlic (2 raw cloves daily)", ginger, turmeric," and omega-3-rich flaxseeds and walnuts. | 2. Eat tomatoes and onions daily — contain quercetin which inhibits platelet aggregation. | 3. Drink pomegranate juice (200 ml daily) — polyphenols are natural antiplatelet agents. | 4. Avoid iron supplements if iron stores are normal. | 5. Stay well hydrated. | 6. Avoid excessive red meat and processed foods.""",,,,,,,,,,,,,,,,,,,,
"CBC;MPV (Mean Platelet Volume);Low;""1. Ashwagandha Churna: Take 5 g with warm milk at bedtime for 6 weeks — supports bone marrow production of larger"," more metabolically active platelets. | 2. Chyawanprash: Take 2 teaspoons with warm milk every morning for 8 weeks. | 3. Note: Low MPV may indicate bone marrow underproduction — consult a physician."";""1. Ensure adequate iron and B12 status — deficiency states produce smaller"," less active platelets. | 2. Sleep 8 hours minimum. | 3. Avoid alcohol and smoking."";""1. Eat zinc and iron-rich foods daily. | 2. Include B12 and folate sources at every meal. | 3. Eat omega-3-rich foods: walnuts and flaxseeds daily — omega-3 is associated with larger"," healthier platelet production.""",,,,,,,,,,,,,,,,,,,,,,,,,
"CBC;MPV (Mean Platelet Volume);High;""1. Triphala Churna: Take 5 g with warm water at bedtime for 6 weeks — reduces inflammatory states driving large platelet production. | 2. Arjuna Churna: Take 3 g with warm water twice daily for 6 weeks — antiplatelet and cardioprotective. | 3. Turmeric Milk: Every night for 8 weeks — curcumin reduces platelet activation and aggregation. | 4. Ginger Tea: Twice daily for 6 weeks — natural antiplatelet agent reducing MPV-associated cardiovascular risk."";""1. High MPV is an independent cardiovascular risk factor — address associated metabolic conditions (diabetes", hypertension," dyslipidaemia). | 2. Stay well hydrated (3 litres daily). | 3. Exercise moderately for 30–40 minutes daily. | 4. Avoid smoking — strongly associated with elevated MPV. | 5. Manage stress with daily meditation."";""1. Eat anti-inflammatory", antiplatelet foods: garlic, ginger, turmeric," and omega-3-rich walnuts and flaxseeds. | 2. Eat tomatoes and onions daily. | 3. Drink pomegranate juice (200 ml daily). | 4. Avoid processed and fried foods. | 5. Reduce red meat and saturated fats.""",,,,,,,,,,,,,,,,,,,,,,
"Blood;ESR (Erythrocyte Sedimentation Rate);Low;""1. Ashwagandha Churna: Take 5 g with warm milk at bedtime for 6 weeks — adaptogen that supports normal blood protein balance affecting ESR. | 2. Note: Low ESR is rarely clinically significant; may indicate polycythaemia — treat the underlying condition."";""1. Ensure adequate hydration. | 2. Low ESR is usually benign — focus on maintaining overall health through Dinacharya. | 3. Consult physician if polycythaemia is suspected."";""1. Stay well hydrated. | 2. Maintain a balanced diet. | 3. Avoid iron excess supplementation.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
